Bounce Time,Peak Height,Velocity Before,Velocity After
1740933478.548462,19,-3513.0428799733004,-3513.0428799733004
1740933478.7804377,18,-3280.076555480934,-3280.076555480934
1740933479.26015,18,-2754.5380457975475,-2754.5380457975475
1740933479.5167534,18,-3294.5525761033236,-3294.5525761033236
1740933479.8838317,18,0.0,0.0
1740933481.0060444,18,-12.514221438523942,-12.514221438523942
